Trx_Rank,Trx_Vlu,Trx_Age,Customer_Age,Category In English,User_Id,Mer_Id,Active_User_Merchant,Active_User_Age,Cluster
1,2014.0,362,362,Fashion,21053,0,Low,Low,3
1,1120.0,371,368,Fashion,26472,0,Low,Very Low,2
2,850.0,368,368,Fashion,26472,0,Low,Very Low,2
1,198.0,558,34,Fashion,27075,0,Low,High,1
1,240.0,413,413,Fashion,27417,0,Low,Very Low,1
1,1674.0,34,34,F&B,1447,1,Low,High,3
1,582.0,33,33,F&B,2709,1,Low,High,2
1,472.4,233,233,F&B,3303,1,Low,Low,1
1,156.5,14,14,F&B,7026,1,Low,High,1
1,416.5,27,27,F&B,10231,1,Low,High,1
1,949.1,47,47,F&B,10975,1,Low,High,2
1,2.0,39,11,F&B,13519,1,Low,High,1
1,350.7,37,37,F&B,14734,1,Low,High,1
1,758.0,5,5,F&B,14823,1,Low,High,2
1,595.2,55,55,F&B,16503,1,Low,High,2
1,200.0,102,102,F&B,31199,1,Low,Medium,1
1,140.0,419,419,Other,4594,2,Low,Very Low,1
1,400.0,306,306,Other,7039,2,Low,Low,1
1,120.0,503,257,Other,10038,2,Low,Low,1
2,268.0,419,257,Other,10038,2,Low,Low,1
1,235.0,13,13,Other,10840,2,Low,High,1
1,720.0,328,321,Other,21265,2,Low,Low,2
2,1080.0,321,321,Other,21265,2,Low,Low,2
1,170.0,355,355,Other,21702,2,Low,Low,1
1,2.0,356,27,Other,24999,2,Low,High,1
1,940.0,29,29,Other,26257,2,Low,High,2
1,235.0,41,41,Other,26333,2,Low,High,1
2,470.0,41,41,Other,26333,2,Low,High,1
1,800.0,334,334,Other,26437,2,Low,Low,2
1,360.0,262,262,Other,26520,2,Low,Low,1
1,200.0,454,268,Other,29328,2,Low,Low,1
1,370.0,304,304,Other,33164,2,Low,Low,1
1,238.8,300,300,Grocery,7,3,Low,Low,1
1,350.0,261,258,Grocery,24,3,Low,Low,1
2,350.0,258,258,Grocery,24,3,Low,Low,1
1,196.7,225,225,Grocery,38,3,Low,Low,1
1,468.7,259,259,Grocery,46,3,Low,Low,1
1,194.7,271,271,Grocery,57,3,Low,Low,1
1,160.0,311,311,Grocery,59,3,Low,Low,1
1,292.0,111,111,Grocery,60,3,Low,Medium,1
1,766.9,266,266,Grocery,61,3,Low,Low,2
1,94.0,292,292,Grocery,74,3,Low,Low,1
1,439.9,237,237,Grocery,76,3,Low,Low,1
1,258.9,287,287,Grocery,77,3,Low,Low,1
1,32.9,270,243,Grocery,86,3,Low,Low,1
2,71.0,243,243,Grocery,86,3,Low,Low,1
1,442.0,254,6,Grocery,95,3,Low,High,1
1,558.2,111,111,Grocery,97,3,Low,Medium,1
1,175.6,168,168,Grocery,100,3,Low,Medium,1
1,153.0,269,269,Grocery,110,3,Low,Low,1
1,150.0,305,63,Grocery,112,3,Low,Medium,1
1,171.7,276,276,Grocery,116,3,Low,Low,1
1,175.8,234,234,Grocery,124,3,Low,Low,1
1,711.3,201,201,Grocery,125,3,Low,Low,2
1,164.1,261,261,Grocery,133,3,Low,Low,1
1,377.6,91,91,Grocery,137,3,Low,Medium,1
1,196.0,233,233,Grocery,143,3,Low,Low,1
1,638.4,302,79,Grocery,145,3,Low,Medium,2
2,638.0,79,79,Grocery,145,3,Low,Medium,2
1,132.0,300,300,Grocery,154,3,Low,Low,1
1,170.0,279,279,Grocery,155,3,Low,Low,1
1,198.5,73,73,Grocery,156,3,Low,Medium,1
1,540.0,251,251,Grocery,161,3,Low,Low,1
1,212.6,292,292,Grocery,171,3,Low,Low,1
1,83.3,296,296,Grocery,175,3,Low,Low,1
1,92.5,307,307,Grocery,195,3,Low,Low,1
1,2883.0,260,260,Grocery,211,3,Low,Low,3
1,239.9,153,153,Grocery,215,3,Low,Medium,1
1,53.0,256,256,Grocery,222,3,Low,Low,1
1,192.0,224,224,Grocery,224,3,Low,Low,1
1,364.0,250,250,Grocery,231,3,Low,Low,1
1,222.8,136,136,Grocery,232,3,Low,Medium,1
1,160.0,51,51,Grocery,243,3,Low,High,1
1,207.8,244,244,Grocery,246,3,Low,Low,1
1,139.2,77,77,Grocery,249,3,Low,Medium,1
1,154.2,156,156,Grocery,273,3,Low,Medium,1
1,184.0,285,285,Grocery,276,3,Low,Low,1
1,229.0,188,188,Grocery,277,3,Low,Low,1
1,494.0,245,245,Grocery,285,3,Low,Low,1
1,210.0,264,264,Grocery,288,3,Low,Low,1
1,500.0,309,309,Grocery,302,3,Low,Low,1
1,274.5,164,164,Grocery,306,3,Low,Medium,1
1,104.0,297,297,Grocery,309,3,Low,Low,1
1,153.7,57,57,Grocery,310,3,Low,High,1
1,122.5,260,260,Grocery,326,3,Low,Low,1
1,168.3,265,265,Grocery,327,3,Low,Low,1
1,170.0,236,236,Grocery,330,3,Low,Low,1
1,163.6,126,126,Grocery,340,3,Low,Medium,1
1,1162.0,76,60,Grocery,354,3,Low,High,2
2,144.0,60,60,Grocery,354,3,Low,High,1
1,394.0,225,225,Grocery,362,3,Low,Low,1
